Name,Customer_ID,Account_Number,Meter_Number,Age,Location,Income,Purchase_Frequency,Purchase_History,Churn_Status,Customer_Satisfaction_Score,Average_Resolution_Time_Hours,Complaint_Frequency,Transaction_DateTime,Transaction_Reference,Receipt_Number,Payment_Type,Meter_Type,Tariff_Class,Amount_Paid,Units_Purchased,Token,VAT,Service_Charge,Debt_Arrears,Previous_Meter_Reading,Current_Meter_Reading,Energy_Consumption,Billing_Cycle,Billing_Accuracy,Power_Outage_Frequency,Power_Outage_Duration_Hours,Service_Usage
Robert Wright,CUST501062,AEDC101062,MTR201062,33,"Kurudu, Abuja, Nigeria",55950,7,49641.27,No,4.8,13.06,0,2026-03-24 07:42:37.705583,d0b9904f-273a-4645-96f2-7211e938e67f,RCPT301062,Transfer,Postpaid,C,8405.78,132.52,,630.43,1407.68,4291.46,7921,8053,132,Feb-2025,0.86,1,1.31,907.98
Beth Reynolds,CUST501063,AEDC101063,MTR201063,25,"Wuse, Abuja, Nigeria",36464,11,19656.69,Yes,3.91,28.58,2,2025-08-24 21:11:19.701850,7a2fe505-f137-4446-a57b-873110e128f9,RCPT301063,Transfer,Postpaid,B,1798.45,19.59,,134.88,636.2,15090.93,3059,3078,19,Mar-2025,0.83,5,8.07,194.99
Edward Oliver,CUST501064,AEDC101064,MTR201064,30,"Kubwa, Abuja, Nigeria",30000,6,23516.38,No,4.1,32.8,2,2026-02-02 19:34:17.263271,d0a48a03-ef21-4dcc-aa88-dbb3375b71ee,RCPT301064,Mobile App,Prepaid,B,4683.35,69.61,93402613756895739022,351.25,664.9,10819.55,1539,1608,69,Mar-2025,0.99,3,3.44,435.07
Christopher Smith,CUST501065,AEDC101065,MTR201065,24,"Lugbe, Abuja, Nigeria",35178,11,51493.72,No,3.59,42.12,3,2025-09-15 21:54:19.484376,23513173-6c88-4f27-a172-b28d832aee24,RCPT301065,Cash,Prepaid,B,3844.4,54.96,58498410779320486365,288.33,840.21,24502.16,2494,2548,54,May-2025,0.91,6,7.79,560.98
Megan Adams,CUST501066,AEDC101066,MTR201066,23,"Wuse, Abuja, Nigeria",117232,8,108696.4,Yes,3.62,37.58,2,2025-05-07 00:36:55.364538,75be823a-3983-44e5-ae35-8cb3e600904a,RCPT301066,POS,Postpaid,B,9899.04,179.93,,742.43,1310.7,63195.1,4731,4910,179,May-2025,0.9,5,12.11,1491.84
Janet Hanson,CUST501067,AEDC101067,MTR201067,49,"Lugbe, Abuja, Nigeria",62669,7,30516.74,No,3.64,13.59,2,2026-03-27 13:46:01.981484,36d54df1-6213-42c5-b62c-47ea017673db,RCPT301067,Transfer,Postpaid,A,4556.54,79.17,,341.74,2314.05,20.69,1647,1726,79,Mar-2025,0.95,7,16.54,597.86
Reginald Hamilton,CUST501068,AEDC101068,MTR201068,22,"Apo, Abuja, Nigeria",56150,7,37880.08,No,4.02,36.42,2,2025-11-22 17:21:10.466665,91c5532a-33a6-4853-b0cd-d6894fa87969,RCPT301068,Transfer,Prepaid,A,4665.94,57.47,70422221447597425791,349.95,1718.06,24330.62,2486,2543,57,Apr-2025,0.86,3,4.4,441.87
Erika Crawford,CUST501069,AEDC101069,MTR201069,60,"Asokoro, Abuja, Nigeria",98348,11,58413.17,No,3.03,46.17,5,2026-01-15 18:27:35.217292,0178c271-168c-4a90-baad-ff72e2e372cf,RCPT301069,Cash,Prepaid,C,5802.07,45.63,64414043997363519838,435.16,817.83,20158.53,3561,3606,45,Mar-2025,0.95,6,10.09,593.77
Timothy Thornton,CUST501070,AEDC101070,MTR201070,43,"Dutse, Abuja, Nigeria",30000,4,7329.06,Yes,4.53,26.54,1,2026-03-06 20:35:27.233412,f1c8ae99-63f3-46cc-a94a-ed577cc55f77,RCPT301070,Transfer,Postpaid,C,1492.05,13.82,,111.9,395.88,74229.38,7071,7084,13,Jun-2025,0.83,0,0.0,52.62
Michael Frye,CUST501071,AEDC101071,MTR201071,25,"Dutse, Abuja, Nigeria",57214,7,57675.68,Yes,4.58,35.99,0,2026-03-22 08:18:33.862908,67707e5b-446f-4eef-abd5-88fc4727b369,RCPT301071,POS,Prepaid,A,6822.43,77.16,98365877759137968885,511.68,2340.73,37217.05,4036,4113,77,Feb-2025,0.9,1,1.25,610.62
Jon Cardenas,CUST501072,AEDC101072,MTR201072,49,"Kubwa, Abuja, Nigeria",38530,12,63080.98,No,4.76,24.42,0,2025-05-20 10:11:26.287673,5f511c7b-863c-4ce9-bfce-1ab407dfebf0,RCPT301072,POS,Postpaid,B,5557.76,59.24,,416.83,734.38,6619.34,3213,3272,59,Mar-2025,0.9,0,0.0,653.7
Diana Allen,CUST501073,AEDC101073,MTR201073,61,"Karu, Abuja, Nigeria",164932,12,214734.0,No,4.81,19.24,0,2025-07-17 19:48:13.291804,903dece5-877f-4843-b288-764531652f9e,RCPT301073,POS,Prepaid,A,18202.2,270.48,80871148033778759326,1365.16,1042.09,28420.67,7703,7973,270,May-2025,0.93,0,0.0,3298.32
Kimberly Walker,CUST501074,AEDC101074,MTR201074,25,"Asokoro, Abuja, Nigeria",56811,8,34348.67,Yes,3.52,38.44,3,2025-04-28 05:15:56.503340,38025b4d-e578-46c2-ac36-7120625e2f28,RCPT301074,Cash,Postpaid,A,3725.78,49.7,,279.43,370.62,67250.07,2198,2247,49,Jun-2025,0.8,8,9.82,360.76
Jeffrey Graham,CUST501075,AEDC101075,MTR201075,28,"Kubwa, Abuja, Nigeria",32279,13,48075.19,No,4.77,22.78,0,2025-12-05 20:49:43.693728,e0c2f11d-4bb0-4756-90f8-b6ac80ecf9a7,RCPT301075,Mobile App,Prepaid,B,2757.51,32.09,97570046492117057563,206.81,1438.72,29576.5,7741,7773,32,May-2025,1.0,0,0.0,508.17
Deborah Hanson,CUST501076,AEDC101076,MTR201076,47,"Karu, Abuja, Nigeria",75171,8,73471.5,Yes,3.18,20.27,3,2025-11-12 03:57:13.045702,86b3dc60-a3ec-4a65-bcb2-1ca76217ff29,RCPT301076,POS,Postpaid,C,9765.52,169.23,,732.41,2039.16,6946.85,3876,4045,169,May-2025,0.94,8,20.3,1323.34
Allen Buckley,CUST501077,AEDC101077,MTR201077,39,"Gwagwalada, Abuja, Nigeria",30000,8,11105.62,No,3.95,30.03,2,2025-12-01 07:56:48.295785,fd29e25a-452e-41e0-9364-b032a9c7d025,RCPT301077,POS,Prepaid,A,1357.07,15.09,61787595660911038932,101.78,2416.16,28069.48,2159,2174,15,May-2025,1.0,5,7.0,62.55
Karen Moran,CUST501078,AEDC101078,MTR201078,40,"Kubwa, Abuja, Nigeria",30000,10,37373.44,No,3.9,28.39,3,2025-09-23 09:52:50.317786,f6d1065d-3d07-428a-b8bb-5c418228249c,RCPT301078,Cash,Postpaid,A,4137.49,54.5,,310.31,1636.46,7897.3,4819,4873,54,Feb-2025,0.9,4,4.28,487.02
Jessica Howell,CUST501079,AEDC101079,MTR201079,33,"Karu, Abuja, Nigeria",88682,7,46328.55,No,3.26,41.76,3,2026-02-20 05:24:45.642205,cad4db45-1920-405d-878e-846a993a13cc,RCPT301079,Transfer,Prepaid,B,4777.12,67.76,34807357006142644686,358.28,1029.29,7614.61,7251,7318,67,Jun-2025,0.95,5,14.52,508.57
Edwin Weaver,CUST501080,AEDC101080,MTR201080,36,"Maitama, Abuja, Nigeria",30000,1,1854.02,No,2.9,28.33,4,2025-05-09 06:18:58.574269,01ee1716-1ec4-4701-aac0-3cf419a1380e,RCPT301080,POS,Prepaid,A,2223.75,20.11,57712195389606706774,166.78,2008.76,11794.57,5206,5226,20,Feb-2025,0.86,7,20.34,44.91
Jeffery Wagner,CUST501081,AEDC101081,MTR201081,33,"Gwarinpa, Abuja, Nigeria",84076,11,74853.84,No,2.81,46.67,7,2025-07-03 09:05:05.518245,6fd395f8-a70d-44bb-a074-540f579d4833,RCPT301081,Cash,Postpaid,B,5291.41,63.3,,396.86,1714.2,26181.99,6318,6381,63,Mar-2025,0.79,7,6.44,699.55
Faith Chapman,CUST501082,AEDC101082,MTR201082,32,"Gwarinpa, Abuja, Nigeria",50929,14,30663.85,No,3.16,33.56,4,2025-11-24 00:26:26.964510,b8aecb21-329a-4f97-a4ac-a72a2dc66da9,RCPT301082,POS,Postpaid,C,2601.66,31.41,,195.12,344.35,24350.81,4217,4248,31,Jan-2025,0.9,6,14.05,317.41
Shawn Meadows,CUST501083,AEDC101083,MTR201083,43,"Wuse, Abuja, Nigeria",30000,9,28293.05,Yes,3.73,32.77,3,2025-09-25 12:11:20.248800,6ac61e21-1bbb-4c53-a5c0-1a980109fcaf,RCPT301083,Mobile App,Prepaid,A,2666.59,32.63,43149843994240741671,199.99,429.47,26270.15,3879,3911,32,Feb-2025,0.96,3,6.79,289.88
Kevin Edwards,CUST501084,AEDC101084,MTR201084,31,"Dutse, Abuja, Nigeria",94325,11,68271.28,Yes,4.64,21.35,0,2025-10-30 10:46:19.478652,b71fd584-74dc-41f3-b758-793ad0b33163,RCPT301084,Transfer,Postpaid,A,7354.93,80.96,,551.62,941.61,16200.7,7315,7395,80,May-2025,0.92,2,3.03,817.6
Alicia Velasquez,CUST501085,AEDC101085,MTR201085,31,"Apo, Abuja, Nigeria",30000,5,22427.14,Yes,4.68,24.3,0,2025-05-25 16:43:14.664477,e16b2319-c087-4c0c-92e6-9939d195e263,RCPT301085,Transfer,Prepaid,C,4458.2,35.25,01708703975581996951,334.36,1908.65,70858.92,7398,7433,35,Feb-2025,0.96,3,1.61,184.37
Austin Cruz,CUST501086,AEDC101086,MTR201086,34,"Kubwa, Abuja, Nigeria",46102,9,35832.81,Yes,3.8,25.76,2,2026-01-10 14:16:07.847972,6345bc51-b9c2-49c8-bb01-5fe27b06a107,RCPT301086,Mobile App,Prepaid,A,2904.97,45.51,32547855164203555986,217.87,2082.94,20156.8,5189,5234,45,Apr-2025,0.96,5,10.92,414.6
David Smith,CUST501087,AEDC101087,MTR201087,32,"Lugbe, Abuja, Nigeria",34768,15,67210.85,No,3.11,53.81,4,2026-03-20 23:49:45.265550,9c28ccea-8363-4514-bbc1-17f478de5ba3,RCPT301087,Cash,Prepaid,A,4160.11,34.96,35916385915218627391,312.01,1411.71,26674.93,6443,6477,34,Jun-2025,0.9,4,11.03,530.79
Steven Pace,CUST501088,AEDC101088,MTR201088,48,"Apo, Abuja, Nigeria",67849,8,28774.57,No,4.5,43.29,0,2026-01-25 10:55:47.295620,97ea0c21-693c-45fd-92f9-f0ab0377c7f6,RCPT301088,Mobile App,Postpaid,C,3055.0,41.42,,229.12,1254.95,20899.81,6787,6828,41,May-2025,0.94,2,1.4,419.63
Allison Villarreal,CUST501089,AEDC101089,MTR201089,59,"Wuse, Abuja, Nigeria",77065,7,37272.99,No,2.94,23.41,5,2025-08-18 03:58:14.000927,9e931307-c023-4fca-aa87-aae3976940ee,RCPT301089,Transfer,Postpaid,C,3906.77,37.28,,293.01,390.52,19277.8,7675,7712,37,May-2025,0.9,6,16.53,276.4
Pamela Brooks,CUST501090,AEDC101090,MTR201090,49,"Gwagwalada, Abuja, Nigeria",91721,8,33143.68,No,4.53,28.7,0,2025-08-25 16:12:57.524142,a45622f8-14b9-4530-bc0c-0165e4042672,RCPT301090,Transfer,Prepaid,C,3611.41,49.23,86545382836243997546,270.86,2032.11,3243.85,1891,1940,49,May-2025,0.9,4,3.59,330.44
Barry Marshall,CUST501091,AEDC101091,MTR201091,42,"Kubwa, Abuja, Nigeria",90417,6,23997.26,Yes,2.61,51.88,7,2025-04-05 02:11:58.349137,c9a7b817-925d-4242-808d-ae52dccf6183,RCPT301091,Transfer,Prepaid,B,3626.66,28.45,56653639894134662208,272.0,1981.92,46220.04,5279,5307,28,Jun-2025,0.97,7,9.35,144.5
Laura Graham,CUST501092,AEDC101092,MTR201092,32,"Kurudu, Abuja, Nigeria",137122,6,98497.28,Yes,3.54,41.6,4,2025-09-27 00:14:00.920685,bc660959-6342-4d4c-9931-de70da8e486f,RCPT301092,POS,Postpaid,B,14242.0,119.45,,1068.15,2036.37,3599.4,1139,1258,119,Jun-2025,0.8,5,4.86,602.99
Laura Dawson,CUST501093,AEDC101093,MTR201093,43,"Kubwa, Abuja, Nigeria",33568,5,5475.79,Yes,4.4,14.01,1,2025-12-19 01:24:04.761002,88355d95-d441-4382-b527-99966ccea2d3,RCPT301093,Cash,Postpaid,B,1280.65,14.32,,96.05,2214.7,35337.84,3345,3359,14,Apr-2025,0.87,4,5.13,77.73
Jennifer Haley,CUST501094,AEDC101094,MTR201094,18,"Lugbe, Abuja, Nigeria",71396,1,9655.95,No,4.24,13.12,1,2026-04-03 09:44:04.846584,37610983-877a-42d1-bda5-121b54e9fc37,RCPT301094,Mobile App,Postpaid,A,9435.89,157.04,,707.69,357.92,16130.19,4653,4810,157,Feb-2025,0.95,7,8.6,185.88
James King,CUST501095,AEDC101095,MTR201095,51,"Maitama, Abuja, Nigeria",32559,13,45695.96,Yes,4.48,23.85,0,2025-06-21 16:54:15.445128,cf88a40c-c28d-4dc9-9a13-9f58c9e423aa,RCPT301095,POS,Prepaid,B,2470.27,41.74,96789259522158474850,185.27,2476.65,64278.75,4876,4917,41,Feb-2025,1.0,2,5.71,557.63
Karen Nelson,CUST501096,AEDC101096,MTR201096,29,"Apo, Abuja, Nigeria",30809,8,28433.26,No,3.41,41.3,4,2025-06-17 08:35:59.746376,37f149aa-a03f-4b13-b582-29242a3e8cf9,RCPT301096,POS,Prepaid,B,3593.84,48.82,68078015347756516974,269.54,879.74,2851.9,6197,6245,48,Apr-2025,0.86,6,7.53,465.6
Tanya Kennedy,CUST501097,AEDC101097,MTR201097,33,"Asokoro, Abuja, Nigeria",57859,10,33382.87,No,4.12,26.23,1,2025-06-01 17:42:12.056469,deda2ced-15b9-4232-a4e7-3629673fdab0,RCPT301097,Mobile App,Postpaid,A,3934.06,32.2,,295.05,1724.77,22093.06,1595,1627,32,Apr-2025,0.84,4,8.35,337.47
Pam Becker,CUST501098,AEDC101098,MTR201098,41,"Karu, Abuja, Nigeria",30000,3,7784.47,No,4.37,24.89,0,2025-09-18 04:45:31.533854,4c0a9e2d-ec33-4710-9a4f-b21c831720f1,RCPT301098,Mobile App,Postpaid,A,2540.7,31.16,,190.55,2230.48,16675.24,3632,3663,31,Jan-2025,0.8,3,7.63,143.67
Brian Black,CUST501099,AEDC101099,MTR201099,40,"Gwarinpa, Abuja, Nigeria",89217,11,91232.2,No,3.73,37.19,4,2025-11-22 14:02:33.389599,8fc78d05-0bf8-4173-b842-4f36dc51e064,RCPT301099,Cash,Prepaid,C,7542.17,73.52,90508161232674608516,565.66,516.76,21854.42,7308,7381,73,Apr-2025,0.88,3,2.0,868.46
Vanessa Hall,CUST501100,AEDC101100,MTR201100,54,"Maitama, Abuja, Nigeria",83294,9,47874.09,No,3.17,56.21,5,2026-02-19 09:14:15.877061,40a966f1-0ab7-47c8-9563-d7f41d03b748,RCPT301100,Mobile App,Prepaid,A,4415.53,35.66,87606198668675292349,331.16,1951.88,4018.25,5167,5202,35,Mar-2025,0.98,6,5.39,277.9
Vanessa Waller,CUST501101,AEDC101101,MTR201101,42,"Kubwa, Abuja, Nigeria",105135,4,54397.57,No,3.42,25.48,5,2025-09-15 05:28:26.597355,2f991ce5-f391-4fb0-bda8-f2a0d3573f8f,RCPT301101,POS,Prepaid,B,10754.55,119.45,44289433947362146249,806.59,970.3,21649.11,7676,7795,119,Apr-2025,1.0,8,6.57,499.28
Logan Murphy,CUST501102,AEDC101102,MTR201102,48,"Kubwa, Abuja, Nigeria",60215,9,81258.4,No,4.24,10.97,0,2026-01-18 16:35:33.619330,8bd2a1b2-3bd1-4daa-b0dc-34eb60c196e2,RCPT301102,Transfer,Prepaid,C,6642.62,61.08,72455391034030704741,498.2,2097.23,15833.35,1830,1891,61,Apr-2025,0.97,6,13.02,540.89
Paul Hall,CUST501103,AEDC101103,MTR201103,28,"Kubwa, Abuja, Nigeria",66311,8,62954.01,No,4.18,24.58,1,2025-12-07 06:24:17.227749,cd884759-76b4-4dbd-97e0-9fb07210cf9a,RCPT301103,Transfer,Prepaid,A,9214.37,112.95,89622531935696704803,691.08,1756.37,28195.47,7592,7704,112,Jan-2025,0.96,5,7.5,1010.73
Paul Hernandez,CUST501104,AEDC101104,MTR201104,18,"Apo, Abuja, Nigeria",40494,6,33469.72,No,3.98,12.68,0,2025-12-29 13:07:33.548388,081821e2-b9ff-4e3c-a5ae-e60adb929ad2,RCPT301104,Cash,Prepaid,B,6594.29,65.18,01585095932449067316,494.57,2296.97,27068.71,1298,1363,65,Jan-2025,1.0,8,17.77,458.84
Eric Cruz,CUST501105,AEDC101105,MTR201105,40,"Dutse, Abuja, Nigeria",67064,4,9441.19,No,3.87,9.87,1,2026-02-13 10:50:04.704913,bc70ebee-1f93-4790-949a-0a8008abe275,RCPT301105,Transfer,Prepaid,A,1765.97,13.71,38431708668057923345,132.45,2385.26,27578.32,7025,7038,13,Jan-2025,0.95,6,16.57,20.0
Elizabeth Smith,CUST501106,AEDC101106,MTR201106,51,"Wuse, Abuja, Nigeria",230061,9,110740.17,Yes,4.43,15.16,0,2026-03-17 07:54:43.669856,7e93749d-0d91-4643-8d31-51d1d1b9b5bc,RCPT301106,Mobile App,Postpaid,B,10917.28,120.44,,818.8,1827.45,45705.28,1026,1146,120,Jan-2025,0.88,7,8.41,1002.39
Patricia Moreno,CUST501107,AEDC101107,MTR201107,32,"Karu, Abuja, Nigeria",67821,10,20498.65,No,3.44,36.75,3,2026-01-30 21:40:32.062027,a7b81a8b-2cf6-4896-893e-64459d833cbf,RCPT301107,POS,Postpaid,A,2303.09,18.75,,172.73,416.78,15764.56,5770,5788,18,May-2025,0.89,9,11.89,101.43
Shawn Stewart,CUST501108,AEDC101108,MTR201108,38,"Jabi, Abuja, Nigeria",98200,9,62847.23,No,3.26,39.44,5,2025-12-19 16:50:21.214270,4f77a378-0b01-420b-b71d-6b1b62c1943f,RCPT301108,Cash,Postpaid,A,6835.21,52.91,,512.64,1809.98,20021.81,4700,4752,52,Apr-2025,0.85,7,6.99,485.63
Austin Harris,CUST501109,AEDC101109,MTR201109,18,"Kurudu, Abuja, Nigeria",32945,6,13200.65,No,4.22,37.66,2,2026-02-17 11:52:49.781675,33411ae5-0e57-46f1-8c8e-29cfd6a0849d,RCPT301109,Mobile App,Postpaid,A,1561.82,26.09,,117.14,580.69,9771.74,6694,6720,26,Feb-2025,0.87,0,0.0,93.59
Christopher Villa,CUST501110,AEDC101110,MTR201110,35,"Gwarinpa, Abuja, Nigeria",30000,9,15246.74,No,2.13,57.0,7,2025-08-19 20:38:07.357278,ffed078d-057c-48f0-abf7-ff137aceab40,RCPT301110,POS,Postpaid,A,2022.11,17.7,,151.66,2155.33,1103.2,5784,5801,17,Feb-2025,0.84,9,18.06,67.34
Thomas Moss,CUST501111,AEDC101111,MTR201111,44,"Kurudu, Abuja, Nigeria",54070,8,31794.98,No,3.6,44.49,4,2025-06-25 09:57:40.564477,4a7051df-3d92-4af3-acd3-9db9a8d6a413,RCPT301111,Cash,Postpaid,A,2851.97,50.05,,213.9,935.41,9899.84,3734,3784,50,Jan-2025,0.84,6,3.11,447.04
Debbie Estes,CUST501112,AEDC101112,MTR201112,36,"Asokoro, Abuja, Nigeria",52198,2,3186.92,No,3.41,22.63,5,2025-09-22 12:55:13.777074,2d3977e8-4ee9-4614-9420-ce018291b65e,RCPT301112,Mobile App,Postpaid,A,1382.86,16.47,,103.71,1906.53,19183.65,3030,3046,16,Feb-2025,0.85,8,7.33,51.76
Deborah Wilcox,CUST501113,AEDC101113,MTR201113,52,"Maitama, Abuja, Nigeria",43101,7,15359.39,No,2.43,26.1,5,2025-11-29 17:20:16.082119,4e09408c-d667-4282-9359-434711ce7bb9,RCPT301113,POS,Postpaid,C,1653.23,16.47,,123.99,1686.97,5193.47,2822,2838,16,Apr-2025,0.91,9,26.25,189.75
Stephanie Williams,CUST501114,AEDC101114,MTR201114,44,"Jabi, Abuja, Nigeria",68693,8,61211.04,No,3.88,31.93,0,2025-11-22 16:53:32.821140,9f6f6be4-9973-4e8b-8355-57f3384c1810,RCPT301114,POS,Prepaid,C,8784.73,148.22,28329598244614670761,658.85,2313.4,24145.26,4341,4489,148,Mar-2025,0.92,7,16.02,1182.7
Tina Castro,CUST501115,AEDC101115,MTR201115,34,"Lugbe, Abuja, Nigeria",56012,6,24483.74,Yes,3.02,28.07,4,2025-09-14 08:17:13.744760,9a232387-e32d-40da-9956-618cab5b0d2c,RCPT301115,Cash,Postpaid,A,4017.25,41.87,,301.29,1622.04,17928.42,5578,5619,41,Apr-2025,0.83,6,17.95,195.63
Jay Smith,CUST501116,AEDC101116,MTR201116,55,"Lugbe, Abuja, Nigeria",75678,4,35576.42,No,3.84,32.79,3,2025-09-08 22:03:17.398747,8e457803-c17d-49d8-a600-8cde3918e8d7,RCPT301116,POS,Prepaid,A,10433.75,80.99,45765308932385916139,782.53,2353.82,13198.67,1552,1632,80,Jan-2025,1.0,3,4.7,321.0
Tamara Mccann,CUST501117,AEDC101117,MTR201117,31,"Maitama, Abuja, Nigeria",52498,10,69559.13,No,3.61,19.95,3,2026-01-24 19:03:26.262463,28b2f461-70c9-440e-a2f9-02a9c778dc79,RCPT301117,Transfer,Prepaid,B,6914.06,123.27,52622291476512760229,518.55,546.76,13659.36,5831,5954,123,Apr-2025,0.89,4,11.81,1217.31
Christopher Manning,CUST501118,AEDC101118,MTR201118,18,"Gwagwalada, Abuja, Nigeria",68405,10,26354.72,No,3.61,34.23,2,2025-11-09 17:09:57.949186,8b1ecadb-5ba7-42f7-a015-5ac34b3dedf6,RCPT301118,Cash,Postpaid,C,2901.49,22.79,,217.61,1205.05,25558.2,2521,2543,22,May-2025,0.91,5,12.99,174.79
Jeffrey Robertson,CUST501119,AEDC101119,MTR201119,42,"Asokoro, Abuja, Nigeria",129838,8,104581.92,Yes,2.94,26.79,6,2025-07-11 07:10:10.911696,5e08142e-a84d-48a3-b804-a604567fea43,RCPT301119,Mobile App,Prepaid,A,12782.41,219.63,63707488709245591213,958.68,1116.71,72947.42,1445,1664,219,May-2025,0.97,8,11.75,1692.67
Joshua Lin,CUST501120,AEDC101120,MTR201120,27,"Dutse, Abuja, Nigeria",32901,7,19456.25,No,2.38,37.08,5,2025-05-30 08:41:50.431090,e9582ab8-c737-49a3-9e31-874cc21fd9d9,RCPT301120,POS,Postpaid,C,2265.25,22.17,,169.89,1317.71,12094.98,2878,2900,22,Jun-2025,0.91,9,24.9,75.12
Bill Brown,CUST501121,AEDC101121,MTR201121,22,"Karu, Abuja, Nigeria",64370,9,36428.12,No,4.2,29.06,1,2025-10-16 21:16:35.956122,970139d6-4e0f-4812-90e9-a43d2196a415,RCPT301121,Cash,Postpaid,A,3078.11,33.38,,230.86,1878.57,23119.99,4633,4666,33,Jan-2025,0.93,4,6.25,391.84
Lisa Beck,CUST501122,AEDC101122,MTR201122,39,"Asokoro, Abuja, Nigeria",65578,10,25941.52,No,2.66,25.76,5,2025-07-06 07:15:34.188049,ee046e6e-00b3-40eb-9ae3-fdb0e9eca2f1,RCPT301122,Cash,Prepaid,A,2577.51,26.48,42023196776791286885,193.31,1490.17,18295.07,1823,1849,26,Jan-2025,0.92,10,21.6,253.89
Joseph Dominguez,CUST501123,AEDC101123,MTR201123,55,"Gwagwalada, Abuja, Nigeria",161583,6,74088.47,No,3.77,48.55,2,2025-07-14 17:55:01.000496,3eb79a5b-7946-4aff-87e8-de0a247c373a,RCPT301123,Transfer,Postpaid,A,9147.81,130.73,,686.09,1255.02,23821.41,6350,6480,130,May-2025,0.91,5,6.97,792.5
Rachel Acosta,CUST501124,AEDC101124,MTR201124,30,"Jabi, Abuja, Nigeria",217982,9,84831.17,No,3.51,24.14,3,2026-03-22 09:14:48.738620,21f627c5-f5bb-458b-8451-c31a7eac7b6e,RCPT301124,Cash,Prepaid,B,10909.24,84.45,84174082180722610210,818.19,2341.75,271.13,6328,6412,84,Jun-2025,1.0,9,12.94,793.42
Andrew Miller,CUST501125,AEDC101125,MTR201125,47,"Lugbe, Abuja, Nigeria",30000,5,16495.19,No,4.62,12.79,0,2025-09-02 17:20:11.484357,693a55ac-7fc7-483d-8936-33ed61998b01,RCPT301125,POS,Prepaid,A,3034.28,47.63,17746816855240341485,227.57,575.61,18099.62,4893,4940,47,Apr-2025,0.97,2,5.02,217.26
Charles Cowan,CUST501126,AEDC101126,MTR201126,45,"Gwarinpa, Abuja, Nigeria",105403,9,110266.56,Yes,4.14,18.9,2,2026-01-16 13:20:26.164924,a3c31565-feaf-4261-86e2-9d94e0ae6277,RCPT301126,Mobile App,Postpaid,B,10698.48,117.8,,802.39,2399.07,11366.7,2594,2711,117,May-2025,0.9,6,5.35,1066.45
Mark Calhoun,CUST501127,AEDC101127,MTR201127,33,"Kurudu, Abuja, Nigeria",70470,12,34459.58,No,2.96,44.11,5,2026-01-03 09:55:45.575541,81c3229d-e722-41f2-bf02-9c1fd33517d8,RCPT301127,POS,Postpaid,C,3391.61,56.81,,254.37,1659.36,3810.28,6299,6355,56,Mar-2025,0.83,6,12.06,629.63
Chad King,CUST501128,AEDC101128,MTR201128,26,"Jabi, Abuja, Nigeria",30000,9,34058.63,No,4.5,49.61,0,2026-03-25 21:44:25.423278,426dc7b2-5293-4d77-95fc-acd443374b24,RCPT301128,Transfer,Prepaid,C,3577.59,34.0,99209261859371703275,268.32,1217.34,17984.39,7202,7236,34,Jun-2025,1.0,0,0.0,297.02
Stacy Walsh,CUST501129,AEDC101129,MTR201129,28,"Wuse, Abuja, Nigeria",47085,11,70747.2,No,2.88,28.63,5,2026-02-06 19:11:06.240925,26bb2cf8-c8d0-4583-b523-44727e9255b6,RCPT301129,POS,Prepaid,B,4515.06,39.27,18295382275271692447,338.63,1506.16,29884.85,2305,2344,39,Mar-2025,0.82,10,16.72,453.94
Mrs. Jennifer Robinson,CUST501130,AEDC101130,MTR201130,23,"Jabi, Abuja, Nigeria",51284,7,33915.18,No,4.59,16.15,1,2026-02-02 06:15:45.703630,f75ab457-d532-43bb-b07c-aae491d8f745,RCPT301130,Cash,Prepaid,A,4788.79,58.78,14802494042239850592,359.16,1703.22,8048.31,2679,2737,58,Apr-2025,0.97,1,0.92,403.59
Brenda Bradley,CUST501131,AEDC101131,MTR201131,18,"Kurudu, Abuja, Nigeria",53879,7,15017.35,Yes,4.16,33.11,2,2025-10-24 20:04:44.745206,4f8524ae-45f2-4501-a7eb-08dd02caa1a5,RCPT301131,Mobile App,Prepaid,B,1686.71,17.31,00340700277000707287,126.5,446.29,60461.47,3670,3687,17,Mar-2025,1.0,1,2.13,124.65
Amy Wagner,CUST501132,AEDC101132,MTR201132,50,"Kurudu, Abuja, Nigeria",92818,6,82914.93,No,3.31,25.44,2,2025-04-09 19:59:36.588307,e25a1aef-41ca-4a1a-8d5f-cbacf06f1de3,RCPT301132,POS,Prepaid,C,14803.32,142.06,35595360810022309490,1110.25,1483.31,14689.39,4453,4595,142,Apr-2025,0.83,8,20.63,815.8
Patricia Jordan,CUST501133,AEDC101133,MTR201133,36,"Lugbe, Abuja, Nigeria",203258,6,85314.72,Yes,4.25,20.41,0,2025-08-05 14:11:45.013143,0f6760fb-ef68-4356-b7ba-eef1b825a430,RCPT301133,Cash,Prepaid,A,12489.11,197.74,10137662231904367154,936.68,2160.57,75203.72,3984,4181,197,Jan-2025,0.89,5,10.99,1131.05
Kathy Webb,CUST501134,AEDC101134,MTR201134,32,"Kurudu, Abuja, Nigeria",106118,6,21680.03,No,2.73,47.7,4,2025-12-09 04:37:06.961591,d9cf9981-2021-46cd-99f9-ea5abc8c1829,RCPT301134,Transfer,Prepaid,C,4099.45,71.13,50705103434981329157,307.46,889.71,9683.97,2673,2744,71,Feb-2025,0.94,7,19.81,469.69
